,question,category,answer,choices/0,choices/1,choices/2,choices/3
995,What was the connection between Mary Stuart (Queen of Scots) and Bloody Mary (Queen of England)?,history,"Mary Stuarts grandmother, Margaret Tudor, was an aunt of the English Mary.","Mary Stuarts grandmother, Margaret Tudor, was an aunt of the English Mary.",They were the same person.,Bloody Mary had the Scottish Mary beheaded,They were both daughters of Henry VIII (but had different mothers).
996,What was the connection between James I of England and James VI of Scotland?,history,They were the same person.,Their boyish fight at St Andrews University sparked a war that eventually led to the unification of Scotland and England.,They were the same person.,James I was the great-grandfather of James VI.,They were both illegitimate sons of Elisabeth I.
997,Who or what destroyed the Great Spanish Armada in 1588?,history,A hurricane off the coast of Ireland,A hurricane off the coast of Ireland,Admiral Nelson at Trafalgar,Francis Drakes attack in the English Channel,Dutch warships
998,"Shakespeares theater, The Globe, was destroyed by fire in 1613. Which Queen saw its reopening?",history,Elisabeth II,Elisabeth I,Anne,Victoria,Elisabeth II
999,"When James, brother of king Charles II, married Mary of Modena, who was Catholic, the English Parliament wanted James to do what?",history,Abstain from having sex with his wife,Renounce his rights to the English throne,Force her to become Anglican or Presbyterian,Divorce her,Abstain from having sex with his wife
1000,What was the last successful foreign invasion of Britain?,history,Dutch in 1688,Spanish in 1588,Dutch in 1688,German in 1940,Norman in 1066
1001,Where did Scotland unsuccessfully try to establish a colony?,history,Panama,Uganda,Panama,Kiribati,Alaska
1002,Who can be regarded as the only military dictator of England?,history,Oliver Cromwell,England never had a dictator.,Oliver Cromwell,Guy Fawkes,Winston Churchill
1003,The House of Windsor was founded by King George V in 1917 when he changed the name of his family to Windsor. What was the original name of his family?,history,German,German,Dutch,Norman,Ancient English
1004,"What decade witnessed the publishing of Charles Darwins The Origin of Species, and the first official game of baseball?",history,1850s,1890s,1850s,1800s,1790s
1005,This decade saw the end of the Napoleonic Wars in Europe and the Year Without a Summer.,history,1810s,1780s,1870s,1810s,1900s
1006,"What decade was nicknamed the Mauve Decade, and saw the discovery of the X-rays by Wilhelm Rontgen?",history,1890s,1920s,1940s,1820s,1890s
1007,"During this decade the first modern railway opened, and Beethovens Ninth Symphony premiered in Vienna.",history,1820s,1870s,1820s,1790s,1890s
1008,"The prototype telephone, the light bulb and the phonograph were all invented during this decade.",history,1870s,1840s,1820s,1870s,1890s
1009,"What decade saw the the end of the Enlightenment, the invention of canned food, and the publishing of the atomic theory?",history,1800s,1800s,1880s,1840s,1860s
1010,"Mark Twain published Adventures of Huckleberry Finn, and Robert Louis Stevenson published Treasure Island and The Strange Case of Dr Jekyll and Mr Hyde during this decade.",history,1880s,1850s,1780s,1820s,1880s
1011,"During this decade the submarine was invented, Alfred Nobel invented dynamite, and the American Civil War broke.",history,1860s,1890s,1830s,1810s,1860s
1012,"This decade saw the first postage stamp, the first electrical telegraph and the first use of general anesthesia in an operation.",history,1840s,1890s,1780s,1860s,1840s
1013,"In 5th century AD, a child hostage exchange was arranged, to keep peace between the Huns and the Romans.  Attila, future king of the Huns was sent to the Roman court in exchange for which Roman hostage?",history,Flavius Aetius,Flavius Aetius,Bleda,Honorius,Flavius Constantinus
1014,What was the relationship between Attila and Bleda who ruled the Huns together until 445?,history,They were brothers,They were not related,They were cousins,They were brothers,They were father and son
1015,"Because of the plundering and devastations across Europe, Attila the Hun came to be called by what nickname?",history,The Scourge of God,The Scourge of God,The Savage,The King of War,The Bane of the Huns
1016,"In 452, this influential Roman Pope participated in the negotiations with the Huns near Mantua and dissuaded Attila the Hun from devastating Rome.",history,Pope Leo I,Pope Leo I,Pope Urban III,Pope Benedict V,Pope Nicholas II
1017,"To form an alliance against Attilas Huns, in 451 the Romans combined armies with which Visigoth leader?",history,Theodoric I,Sigfrid II,Athelred,Harald,Theodoric I
1018,Attila the Huns palace and headquarters in Europe were situated on the territory of which modern country?,history,Hungary,Greece,Spain,Bulgaria,Hungary
1019,"In this Germanic legend, turned into an operatic tetralogy by Richard Wagner, Attila the Hun appears by the name Etzel.",history,Song of the Nibelungen,Havamal,The Poems of Ossian,Silmarillion,Song of the Nibelungen
1020,"Honoria, sister of the Roman Emperor, broke the peaceful relations between Rome and Attila the Hun  by trying to do what?",history,Marry Attila,Marry Valentinian III,Kill Attila,Kill Valentinian III,Marry Attila
1021,"In 451, Flavius AÃ«tius, in alliance with the Visigoths, finally defeated Attila the Hun. Where did the famous battle take place?",history,On the Catalaunian Fields,Near the Volga river,In the Transilvanian woods,Near the Black Sea,On the Catalaunian Fields
1022,"In 453, Attila the Hun died in his room on the night of his wedding to which woman?",history,Ildico,Ildico,Kriemhild,Honoria,Gudrun
1023,"He said: If you want to make a lot of money, invent something that will enable Europeans to cut each others throats.",history,Hiram Maxim,Hiram Maxim,Thomas  Alva Edison,James Puckle,Leonardo Da Vinci
1024,"In World War I, the machine gun combined with this invention was responsible for most of the battle casualties.",history,James Gliddens invention,James Gliddens invention,Samuel Colts invention,James Puckles invention,Alfred Nobels invention
1025,Where was the assault rifle invented?,history,in Italy,in Italy,in Mexico,in Germany,in Russia
1026,Which of the following was invented by Hiram Maxim?,history,The silencer,The automatic pistol,The sniper rifle,The silencer,The assault  rifle
1027,"He was responsible for the invention of the caterpillar tractor, which was the basis of the tank.",history,James B. Hill,John Deere,James B. Hill,James Puckle,Samuel Browning
1028,The operational jet fighter was invented during this war.,history,World War II,The Spanish Revolution,The Korean War,World War I,World War II
1029,When was the first automatic revolver produced?,history,Between 1901 and 1903,Between 1889 and 1891,Between 1923 and 1924,Between 1901 and 1903,Between 1961 and 1963
1030,In what year was the first mass produced multishot pistol patented?,history,1835,1912,1835,1862,1879
1031,When was a telescopic sight first put on a rifle?,history,1880,1931,1880,1789,1939
1032,Why is the Borchardt pistol of 1893 considered an important invention?,history,It was the first pistol to have a separate ammo magazine.,It was the first pistol to have a separate ammo magazine.,It was the first pistol approved for use by the Swiss Guard to help guard the Pope.,It was the first pistol that was not made of metal.,It was the first pistol to have an effective range of over 60 yards.
1033,"Although it  looks a lot like the World War II bazooka, the US Army Javelin anti-armor weapon has this advantage over other weapons of its type.",history,It leaves no heat  trail.,It is only 50% the weight of similar weapons.,It uses much cheaper munitions.,It leaves no heat  trail.,It is about 50% the cost of similar weapons.
1034,Which is the odd one out?,history,Dragon,SWORDS,Dragon,Predator,TALON
1035,Which of these European nations did not come under Soviet domination in the five years following the end of World War Two?,history,Yugoslavia,Romania,Yugoslavia,Czechoslovakia,Poland
1036,"In 1946 George Kennan, a Russian specialist in the US embassy in Moscow, sent a long telegram to Washington. His telegram was very persuasive and is given much credit for the US adopting this kind of policy.",history,policy of containment,policy of conciliation,policy of confrontation,policy of containment,policy of isolationism
1037,"The Marshall Plan of 1947 offered massive economic aid to help war-devastated nations in Europe. However, communist controlled Eastern Europe received none of the aid for what reason?",history,The Soviet dictator Stalin refused to allow any communist controlled nation of Eastern Europe to receive Marshall Plan aid,The US Congress stipulated that no aid could be given to communist nations.,Western European nations refused to participate in the plan if Eastern European communist nations were included.,The Soviet dictator Stalin refused to allow any communist controlled nation of Eastern Europe to receive Marshall Plan aid,War damage in Eastern Europe was relatively small.
1038,"What was the main purpose of the Truman Doctrine, that was first announced in 1947?",history,containment of communism,containment of communism,US support for the United Nations Organization for maintaining world peace,keeping the US isolated from conflicts in Europe and Asia,economic aid to European allies and Japan
1039,Why did President Truman relieve General MacArthur of command of UN forces in the Korean War?,history,because MacArthur publicly criticized his commander-in-chiefs (President Trumans) policy of limited war in Korea,because MacArthur wanted to withdraw all UN forces below the 38th parallel in Korea,because MacArthur publicly criticized his commander-in-chiefs (President Trumans) policy of limited war in Korea,because MacArthur refused to allow bombing attacks on communist bases in China,because MacArthur advocated counterattacking communist forces in Europe to relieve pressure on Korea
